0,1,2,3
"127.1642808,36.8266507","128.810824,35.9066334","126.7344562,37.4271426","128.5481627,35.8544238"
"127.1641756,36.8265837","128.8114858,35.9069183","126.7344496,37.4268938","128.5480993,35.8543991"
"127.1640816,36.8265554","128.8121242,35.9071935","126.7344472,37.4268028","128.5477843,35.8542838"
"127.1639728,36.8265461","128.8121867,35.9072199","126.7344507,37.4266802","128.547633,35.8542256"
"127.1638202,36.8265709","128.8123974,35.9072978","126.734457,37.4265","128.5472367,35.8540749"
"127.1637034,36.8266292","128.8125715,35.9073671","126.7344336,37.4262466","128.546628,35.8538521"
"127.1636379,36.8267219","128.8142573,35.908124","126.7343992,37.4261859","128.5458246,35.853558"
"127.1636005,36.8268056","128.8147631,35.9083519","126.7340652,37.4255781","128.545809,35.8535518"
"127.1636047,36.8268813","128.8162902,35.9092295","126.7336973,37.4248618","128.5456821,35.8535024"
"127.1636167,36.8269643","128.8166135,35.9094099","126.7335278,37.4245281","128.5447549,35.8531399"
"127.1636601,36.8270329","128.8170408,35.9096486","126.7334602,37.4243934","128.5446658,35.8531046"
"127.1637394,36.8271035","128.8171639,35.9097212","126.7333893,37.4242568","128.5443742,35.8529909"
"127.1638278,36.8271425","128.8173384,35.9098221","126.7330449,37.4235605","128.5439244,35.8528081"
"127.16396,36.8271708","128.8174279,35.9098743","126.7327921,37.4230776","128.5438086,35.8527614"
"127.1640654,36.8271711","128.8176181,35.909984","126.7327467,37.4229907","128.5428868,35.8523916"
"127.1642953,36.8271645","128.8176539,35.9100034","126.7326912,37.4228876","128.5421889,35.8521227"
"127.1644862,36.8271092","128.8177434,35.9100547","126.7323337,37.422148","128.54151,35.8518608"
"127.1646826,36.8270746","128.8185209,35.9104951","126.7321562,37.4218296","128.5413397,35.8517974"
"127.1649956,36.8270457","128.8190393,35.9108095","126.7320818,37.4216957","128.5411249,35.8517163"
"127.1651797,36.8270021","128.8197619,35.9112163","126.7320041,37.4215573","128.5410392,35.8516837"
"127.1656814,36.8268809","128.8203434,35.9115308","126.7318906,37.4213844","128.540525,35.8514826"
"127.1659913,36.8268042","128.8208154,35.9117916","126.7318561,37.421331","128.5396156,35.8511289"
"127.1661372,36.8267677","128.8210849,35.9119356","126.7318025,37.4212729","128.5394119,35.8510495"
"127.1666996,36.8266241","128.8217716,35.9123157","126.7316796,37.4211279","128.5381122,35.8505658"
"127.1678763,36.826274","128.8221665,35.9125367","126.7319454,37.4211107","128.5377218,35.8504421"
