0,1,2,3,4,5,6,7,8,9,10
"127.1376628,37.566597","126.9263442,37.5136001","127.0075089,37.5101005","126.7321914,37.4335384","127.1619694,37.2402155","126.9724821,37.5566023","126.7321914,37.4335384","128.583284,35.8533505","126.9263442,37.5136001","127.0185806,37.5706575","127.1439865,37.5588502"
"127.138164,37.5666968","126.9263746,37.5136246","127.0074333,37.5102408","126.7321922,37.4333482","127.1617727,37.2400806","126.9724442,37.5563524","126.7321922,37.4333482","128.5832762,35.8534308","126.9263746,37.5136246","127.0190128,37.570881","127.143713,37.5592099"
"127.1385475,37.5667575","126.9264014,37.5136679","127.0072042,37.5106616","126.7321958,37.4332175","127.1615387,37.2399583","126.9724437,37.5557837","126.7321958,37.4332175","128.5832625,35.8534778","126.9264014,37.5136679","127.0190546,37.5709037","127.1436675,37.5592539"
"127.1388995,37.5667955","126.9264226,37.5137068","127.0071447,37.5107696","126.7322039,37.4329787","127.1615162,37.2399483","126.9724901,37.5552981","126.7322039,37.4329787","128.583253,35.853513","126.9264226,37.5137068","127.0191122,37.5709328","127.1435379,37.5593788"
"127.1392867,37.5668048","126.9266093,37.5140016","127.0071241,37.5108082","126.7322061,37.4328778","127.1612135,37.2398167","126.9724926,37.5552647","126.7322061,37.4328778","128.5832394,35.8535744","126.9266093,37.5140016","127.0192115,37.5709809","127.1433662,37.5595216"
"127.139991,37.5668105","126.9267692,37.5142484","127.0070302,37.5109755","126.7322064,37.4328409","127.1609657,37.2397664","126.9725446,37.5546331","126.7322064,37.4328409","128.5832311,35.853616","126.9267692,37.5142484","127.0197963,37.5712609","127.1429799,37.559808"
"127.1404007,37.566856","126.9269383,37.5143367","127.0070268,37.5109809","126.7322147,37.4326976","127.1606841,37.2397115","126.9725705,37.5545016","126.7322147,37.4326976","128.5832182,35.8537243","126.9269383,37.5143367","127.0200085,37.5713645","127.1425936,37.5600953"
"127.1408029,37.5668211","126.9272161,37.5144155","127.0070016,37.5110267","126.7322184,37.4325579","127.1604745,37.2396983","126.9726407,37.5543388","126.7322184,37.4325579","128.5831825,35.8539509","126.9272161,37.5144155","127.0200243,37.5713718","127.1420508,37.5604154"
"127.1416219,37.5667488","126.9273335,37.5144422","127.006879,37.511257","126.7322358,37.4322885","127.1603595,37.2396971","126.9726808,37.5542759","126.7322358,37.4322885","128.583137,35.854266","126.9273335,37.5144422","127.0201249,37.5714083","127.1406228,37.5611736"
"127.1418179,37.5667314","126.9274917,37.51447","127.0068377,37.5113397","126.7322359,37.4322831","127.1601137,37.2396937","126.9727321,37.5542247","126.7322359,37.4322831","128.5830314,35.8549719","126.9274917,37.51447","127.0204096,37.5715032","127.1396385,37.5617069"
"127.1429111,37.5666346","126.928111,37.5144253","127.0066623,37.5116914","126.7322383,37.4322723","127.1594822,37.2397351","126.9728116,37.554189","126.7322383,37.4322723","128.5830213,35.8550406","126.928111,37.5144253","127.0207465,37.5715947","127.1389584,37.5621059"
"127.1430697,37.5666207","126.9285842,37.5144068","127.0064185,37.5121159","126.7322599,37.4321472","127.1580043,37.2399391","126.9730395,37.5541297","126.7322599,37.4321472","128.5830111,35.8551065","126.9285842,37.5144068","127.0210089,37.5716453","127.1383541,37.5625025"
"127.1443373,37.5665091","126.92903,37.5144072","127.0062513,37.512418","126.7323098,37.4320141","127.1579298,37.2399497","126.9737879,37.5538022","126.7323098,37.4320141","128.582924,35.8557825","126.92903,37.5144072","127.0211673,37.5716757","127.1382859,37.5625491"
"127.1459085,37.566366","126.9293999,37.5144243","127.0061537,37.512633","126.7324261,37.4316958","127.1568917,37.2401504","126.9740048,37.5537112","126.7324261,37.4316958","128.582883,35.8561949","126.9293999,37.5144243","127.0213811,37.5717045","127.1380394,37.5627197"
"127.1467218,37.566309","126.9296272,37.5144407","127.0061283,37.512705","126.7324652,37.4316329","127.1567268,37.2402193","126.9741387,37.5536677","126.7324652,37.4316329","128.5828738,35.8562509","126.9296272,37.5144407","127.0216844,37.5717364","127.137238,37.563359"
"127.1471783,37.566286","126.9299706,37.5145235","127.0061177,37.5127663","126.7326813,37.4312819","127.1561478,37.2403376","126.9742919,37.5536143","126.7326813,37.4312819","128.5828574,35.8563448","126.9299706,37.5145235","127.0221465,37.5717193","127.1370786,37.5635514"
"127.1474444,37.5662814","126.9337795,37.5148041","127.0061319,37.5128484","126.7327617,37.431158","127.1560224,37.240403","126.9743849,37.5535886","126.7327617,37.431158","128.5828523,35.8563764","126.9337795,37.5148041","127.0225364,37.5716659","127.1368385,37.563794"
"127.1479336,37.5662874","126.9338768,37.5148109","127.0061541,37.5129088","126.7328981,37.4309696","127.1557052,37.2404895","126.9750479,37.553496","126.7328981,37.4309696","128.5827299,35.8564154","126.9338768,37.5148109","127.0229117,37.5715908","127.1368271,37.5638057"
"127.1482981,37.5663011","126.9347134,37.5149122","127.0061821,37.5129594","126.7332248,37.4305166","127.1554725,37.240588","126.9752745,37.5534663","126.7332248,37.4305166","128.5826913,35.8564283","126.9347134,37.5149122","127.0232327,37.5715092","127.1366279,37.5640151"
