0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"127.1348478,37.4339412","126.8668344,37.4993981","126.7346683,37.4347244","126.7346683,37.4347244","127.0860547,37.5011061","127.3667312,36.3225667","126.7346683,37.4347244","126.723722,37.5434925","126.7346683,37.4347244","126.9229346,37.3600901","127.0969848,37.5027772","126.8668344,37.4993981","127.1348478,37.4339412","126.8668344,37.4993981","127.1348478,37.4339412","126.7346683,37.4347244","127.0969848,37.5027772","126.7346683,37.4347244","126.7346683,37.4347244","127.20396,37.2981644"
"127.1337489,37.4337494","126.8672076,37.4995461","126.7346434,37.4348405","126.7346434,37.4348405","127.0860043,37.5012258","127.367471,36.3225396","126.7346434,37.4348405","126.7247119,37.5434413","126.7346434,37.4348405","126.9229343,37.3602731","127.0970181,37.5031162","126.8672076,37.4995461","127.1337489,37.4337494","126.8672076,37.4995461","127.1337489,37.4337494","126.7346434,37.4348405","127.0970181,37.5031162","126.7346434,37.4348405","126.7346434,37.4348405","127.2039471,37.298295"
"127.1336416,37.4337284","126.8672742,37.4995663","126.7346002,37.4349746","126.7346002,37.4349746","127.0859926,37.5012826","127.3675489,36.3225748","126.7346002,37.4349746","126.7249372,37.5434328","126.7346002,37.4349746","126.9229539,37.360522","127.0970245,37.503182","126.8672742,37.4995663","127.1336416,37.4337284","126.8672742,37.4995663","127.1336416,37.4337284","126.7346002,37.4349746","127.0970245,37.503182","126.7346002,37.4349746","126.7346002,37.4349746","127.2039621,37.2984817"
"127.133173,37.4336368","126.8673984,37.499594","126.7345667,37.4350419","126.7345667,37.4350419","127.0859637,37.5013951","127.367599,36.3225749","126.7345667,37.4350419","126.7251014,37.5434267","126.7345667,37.4350419","126.92297,37.3606302","127.0970661,37.5036554","126.8673984,37.499594","127.133173,37.4336368","126.8673984,37.499594","127.133173,37.4336368","126.7345667,37.4350419","127.0970661,37.5036554","126.7345667,37.4350419","126.7345667,37.4350419","127.2039931,37.2986431"
"127.1329437,37.4335919","126.8675023,37.4996135","126.7344321,37.4352772","126.7344321,37.4352772","127.0859687,37.5015204","127.3677584,36.3225696","126.7344321,37.4352772","126.726037,37.5433743","126.7344321,37.4352772","126.9229785,37.3606934","127.0971249,37.5042919","126.8675023,37.4996135","127.1329437,37.4335919","126.8675023,37.4996135","127.1329437,37.4335919","126.7344321,37.4352772","127.0971249,37.5042919","126.7344321,37.4352772","126.7344321,37.4352772","127.2040534,37.2988055"
"127.1328094,37.4335654","126.8677329,37.4996436","126.7343447,37.4354173","126.7343447,37.4354173","127.0859791,37.5016908","127.367862,36.3225661","126.7343447,37.4354173","126.7267856,37.5433332","126.7343447,37.4354173","126.9229991,37.3608043","127.0971324,37.5043659","126.8677329,37.4996436","127.1328094,37.4335654","126.8677329,37.4996436","127.1328094,37.4335654","126.7343447,37.4354173","127.0971324,37.5043659","126.7343447,37.4354173","126.7343447,37.4354173","127.2041576,37.2989734"
"127.1327247,37.4335498","126.8677691,37.4996456","126.7342822,37.4356765","126.7342822,37.4356765","127.0860024,37.5017729","127.3679188,36.3225644","126.7342822,37.4356765","126.7270665,37.5433233","126.7342822,37.4356765","126.9230089,37.3608576","127.0971356,37.5043992","126.8677691,37.4996456","127.1327247,37.4335498","126.8677691,37.4996456","127.1327247,37.4335498","126.7342822,37.4356765","127.0971356,37.5043992","126.7342822,37.4356765","126.7342822,37.4356765","127.2043797,37.2993156"
"127.1325993,37.4335241","126.8680236,37.4996469","126.7342759,37.4360748","126.7342759,37.4360748","127.0864575,37.5023226","127.3680403,36.3225609","126.7342759,37.4360748","126.7277651,37.5432981","126.7342759,37.4360748","126.9231084,37.361142","127.0971356,37.5044019","126.8680236,37.4996469","127.1325993,37.4335241","126.8680236,37.4996469","127.1325993,37.4335241","126.7342759,37.4360748","127.0971356,37.5044019","126.7342759,37.4360748","126.7342759,37.4360748","127.2047029,37.2997725"
"127.1323926,37.4334856","126.8682251,37.4996372","126.7340656,37.4360762","126.7340656,37.4360762","127.0865429,37.5024418","127.3683177,36.3225495","126.7344534,37.4360742","126.7283076,37.5432792","126.7340656,37.4360762","126.9231195,37.3611619","127.097166,37.5048572","126.8682251,37.4996372","127.1323926,37.4334856","126.8682251,37.4996372","127.1323926,37.4334856","126.7340656,37.4360762","127.097166,37.5048572","126.7340656,37.4360762","126.7340656,37.4360762","127.2047634,37.2998682"
"127.1313402,37.4332759","126.8683689,37.4996154","126.7339017,37.4360769","126.7339017,37.4360769","127.0866757,37.5027722","127.3687165,36.3225409","126.7357116,37.4360571","126.7283948,37.5432761","126.7339017,37.4360769","126.9232711,37.3614258","127.0972322,37.5058039","126.8683689,37.4996154","127.1313402,37.4332759","126.8683689,37.4996154","127.1313402,37.4332759","126.7339017,37.4360769","127.0972322,37.5058039","126.7339017,37.4360769","126.7339017,37.4360769","127.204788,37.2999467"
