0
"127.6856115,36.2809166"
"127.6860435,36.2808889"
"127.6868874,36.2808344"
"127.6878169,36.2807383"
"127.6884614,36.280648"
"127.6889478,36.280567"
"127.6897257,36.2804098"
"127.690005,36.2803345"
"127.6920602,36.2797209"
"127.6924385,36.279604"
"127.6931995,36.2793575"
"127.6932061,36.2793548"
"127.6967986,36.2781914"
"127.6972381,36.2780491"
"127.6976865,36.2779023"
"127.6991873,36.2774328"
"127.7005124,36.2770411"
"127.7037191,36.2761603"
"127.7057023,36.2758305"
"127.7071213,36.2755883"
"127.7121262,36.2752045"
"127.714839,36.2749923"
"127.7150795,36.2749738"
"127.7160791,36.2748972"
"127.7163452,36.2748769"
"127.720976,36.2745177"
"127.7246282,36.274235"
"127.7258371,36.2741408"
"127.7260954,36.274125"
"127.7268045,36.2740749"
"127.727124,36.27405"
"127.7287624,36.2738828"
"127.7299867,36.2737245"
"127.7305632,36.2736593"
"127.731162,36.2735915"
"127.7318499,36.2735162"
"127.733774,36.2731933"
"127.7381128,36.2720695"
"127.7390739,36.2718152"
"127.7399851,36.2715925"
"127.7404401,36.271469"
"127.74124,36.2712735"
"127.7416972,36.2711437"
"127.7417628,36.2711246"
"127.7428385,36.2708195"
"127.7436495,36.2706159"
"127.7447945,36.2704179"
"127.7450493,36.2703777"
"127.7469145,36.270126"
"127.7478271,36.2700069"
"127.7491937,36.2698228"
"127.7493962,36.2697954"
"127.7499993,36.2696913"
"127.750836,36.2695102"
"127.7516123,36.2692741"
"127.7526956,36.2689302"
"127.7539279,36.2685246"
"127.7548955,36.2682178"
"127.7554761,36.2680642"
"127.7562626,36.2678813"
"127.7570281,36.2677228"
"127.7578493,36.2676092"
"127.7590712,36.2674407"
"127.7598793,36.2673966"
"127.760869,36.2673818"
"127.7627887,36.2675173"
"127.7641419,36.2676703"
"127.7648248,36.2677941"
"127.7651112,36.2678629"
"127.7670287,36.2683193"
"127.7676271,36.2684884"
"127.7690159,36.2689505"
"127.7697227,36.269222"
"127.7713026,36.2698937"
"127.7720398,36.270259"
"127.7725585,36.2705454"
"127.7738257,36.2712466"
"127.775235,36.2721368"
"127.7786554,36.2746731"
"127.7788362,36.2747989"
"127.7820248,36.2772021"
"127.7831333,36.2780109"
"127.7835575,36.2783101"
"127.7842005,36.2787558"
"127.7842407,36.2787836"
"127.7847641,36.2791186"
"127.7850643,36.2793019"
"127.7854894,36.2795352"
"127.7860149,36.2798207"
"127.7864354,36.2800351"
"127.7868425,36.2802127"
"127.7874693,36.2804816"
"127.7878328,36.280616"
"127.7887826,36.2809256"
"127.7893456,36.2811091"
"127.7897111,36.2811939"
"127.7904957,36.2813831"
"127.7914773,36.2815394"
"127.7921145,36.2816126"
"127.7930836,36.2816941"
"127.7939254,36.2817056"
"127.7947315,36.281681"
"127.7955587,36.2816411"
"127.7968096,36.2814703"
"127.7976931,36.2813095"
"127.7989136,36.2810333"
"127.7997813,36.2808039"
"127.8006768,36.2805844"
"127.8034918,36.2794738"
"127.8037397,36.2793677"
"127.8064732,36.2781986"
"127.8099693,36.2767471"
"127.8103361,36.2765992"
"127.8146735,36.2748055"
"127.8154306,36.2745249"
"127.8162882,36.2743081"
"127.8179425,36.2739719"
"127.8185244,36.2738685"
"127.8195958,36.2736935"
"127.8201399,36.2736091"
"127.822471,36.2732494"
"127.8231153,36.2731539"
"127.8237038,36.2730423"
"127.8242222,36.2729481"
"127.8246038,36.2728794"
"127.8255427,36.2726686"
"127.8263601,36.2724545"
"127.826925,36.2722943"
"127.8282447,36.2718489"
"127.8292173,36.2714658"
"127.8301965,36.2710538"
"127.8306454,36.2708407"
"127.8312365,36.2705605"
"127.8315663,36.2703702"
"127.8320906,36.2700695"
"127.8323194,36.269939"
"127.832999,36.2695215"
"127.8338138,36.2689693"
"127.833957,36.2688625"
"127.8341656,36.2687023"
"127.8349335,36.2681124"
"127.8354969,36.2676195"
"127.8357587,36.2673861"
"127.836942,36.2663163"
"127.8380656,36.2653701"
"127.8383797,36.2651303"
"127.8391021,36.2645981"
"127.8401722,36.2638901"
"127.8415813,36.2630467"
"127.8424109,36.26259"
"127.8431794,36.2621748"
"127.8435626,36.2619682"
"127.843587,36.2619546"
"127.8439357,36.261767"
"127.8440746,36.2616917"
"127.8464088,36.2603931"
"127.8476714,36.2596844"
"127.8489539,36.2589549"
"127.8494145,36.2586624"
"127.8498473,36.2583582"
"127.8503942,36.2579347"
"127.8509497,36.2574336"
"127.8516163,36.2566617"
"127.851963,36.2562604"
"127.8524349,36.2555107"
"127.8527704,36.2548669"
"127.8527704,36.254866"
"127.8528927,36.2545862"
"127.853128,36.2539499"
"127.8531994,36.253718"
"127.8532944,36.2533273"
"127.8534365,36.2527418"
"127.8534991,36.2523152"
"127.85357,36.2512457"
"127.8536623,36.2499995"
"127.8537278,36.2489698"
"127.8537871,36.248041"
"127.8538872,36.2462908"
"127.8538913,36.2462132"
"127.8539641,36.2448463"
"127.8540866,36.2428913"
"127.8542206,36.2410112"
"127.8544497,36.2397501"
"127.8547536,36.2387765"
"127.8550223,36.238141"
"127.855398,36.2375484"
"127.8557869,36.2369333"
"127.8561995,36.2363831"
"127.8567997,36.2357249"
"127.8574902,36.2350963"
"127.8581499,36.2345741"
"127.8585493,36.2343079"
"127.8591454,36.2339734"
"127.8594784,36.2337975"
"127.8601724,36.2334673"
"127.8609622,36.2331412"
"127.8623169,36.2327495"
"127.8646558,36.2322204"
"127.8647536,36.2321984"
"127.8655528,36.2320175"
"127.8663398,36.2318176"
"127.8672332,36.2315516"
"127.8675133,36.2314687"
"127.8685418,36.2310653"
"127.8692255,36.2306836"
"127.8698059,36.2303473"
"127.8703773,36.2299841"
"127.8705125,36.2298764"
"127.870793,36.2296528"
"127.8712996,36.229241"
"127.8718321,36.2286777"
"127.8722394,36.2282058"
"127.8732277,36.2268495"
"127.8741915,36.2254824"
"127.8749992,36.2242917"
"127.8750843,36.2241715"
"127.8760823,36.2227583"
"127.8765116,36.2222476"
"127.8768294,36.2219193"
"127.8771783,36.2216063"
"127.8779013,36.2210802"
"127.8784593,36.2207359"
"127.8791474,36.2203758"
"127.8799246,36.2200415"
"127.8816221,36.2194997"
"127.8842082,36.2186737"
"127.8885439,36.2172894"
"127.8898615,36.2169064"
"127.8907986,36.2167474"
"127.891636,36.2166734"
"127.8924871,36.2166715"
"127.8938239,36.2167726"
"127.8942114,36.2168426"
"127.8947827,36.2169579"
"127.8956171,36.2171733"
"127.8961767,36.2173842"
"127.8967041,36.2176061"
"127.8968859,36.2176956"
"127.8970945,36.2178031"
"127.8980676,36.2183742"
"127.899062,36.2189749"
"127.8999951,36.2195623"
"127.9011031,36.2201789"
"127.9016474,36.2204511"
"127.9021326,36.2206731"
"127.9030793,36.2210765"
"127.9038384,36.2213588"
"127.9049527,36.221676"
"127.9056835,36.2218421"
"127.9061101,36.2219335"
"127.9063674,36.2219886"
"127.9067851,36.2220782"
"127.9074377,36.2221932"
"127.9085866,36.2223209"
"127.9098699,36.2223985"
"127.9099144,36.2223984"
"127.9127339,36.2223977"
"127.9128574,36.2224"
"127.9171894,36.2224751"
"127.9186603,36.222461"
"127.9198117,36.2224272"
"127.9203176,36.2223524"
"127.920799,36.2222777"
"127.9215446,36.2220947"
"127.9220367,36.2219578"
"127.9226996,36.2216913"
"127.9228294,36.2216268"
"127.923281,36.2214016"
"127.924032,36.2209716"
"127.9243247,36.2207849"
"127.9246197,36.2205972"
"127.9259181,36.2197722"
"127.9267065,36.2192834"
"127.9280005,36.2184728"
"127.9285794,36.2181209"
"127.928963,36.2178788"
"127.9296981,36.2174146"
"127.930665,36.2168134"
"127.9317859,36.2160998"
"127.9326175,36.2155848"
"127.9338214,36.2148051"
"127.9345844,36.2143596"
"127.9352109,36.2139733"
"127.9360826,36.2134815"
"127.9366928,36.2131835"
"127.9374461,36.2127985"
"127.9388159,36.2122535"
"127.9395967,36.2120225"
"127.9403343,36.2118233"
"127.9429547,36.2111167"
"127.9436183,36.2110043"
"127.9443464,36.2109105"
"127.9450157,36.210835"
"127.9457541,36.2107872"
"127.9465136,36.2107275"
"127.949961,36.2104955"
"127.951558,36.2104012"
"127.9531194,36.2103096"
"127.9548589,36.2102282"
"127.9559189,36.2102007"
"127.9564941,36.2102094"
"127.9572241,36.2102417"
"127.9579621,36.210302"
"127.9588628,36.2104311"
"127.9594242,36.2105497"
"127.9603865,36.2107408"
"127.9614125,36.2109748"
"127.9629077,36.2113549"
"127.9636742,36.2115386"
"127.9661775,36.2121266"
"127.9668448,36.2122773"
"127.9677884,36.2124936"
"127.9685715,36.2126726"
"127.9691394,36.2127614"
"127.9699622,36.2128592"
"127.9706588,36.2128808"
"127.9708924,36.212888"
"127.9719679,36.2128324"
"127.9727893,36.212711"
"127.9739831,36.2125314"
"127.9830336,36.2111077"
"127.9843565,36.2109554"
"127.9852628,36.210885"
"127.9852872,36.2108831"
"127.9857231,36.2108516"
"127.9858644,36.210842"
"127.9864871,36.2107971"
"127.9872867,36.2107497"
"127.9881598,36.2107272"
"127.9903756,36.2106685"
"127.9908305,36.2106568"
"127.9916069,36.2106391"
"127.9933898,36.2105687"
"127.9939992,36.2105283"
"127.9940736,36.2105172"
"127.9947205,36.210419"
"127.9955904,36.2102278"
"127.9963243,36.2100066"
"127.9969702,36.209756"
"127.9977275,36.2093634"
"127.9977475,36.2093534"
"127.998483,36.2088473"
"127.9991602,36.2082828"
"127.9996319,36.2077606"
"127.9999993,36.2072795"
"128.0000677,36.2071863"
"128.0003965,36.206589"
"128.0006763,36.2059784"
"128.0008234,36.2055027"
"128.0009577,36.2049287"
"128.0009716,36.2048367"
"128.0010472,36.2043162"
"128.0011825,36.2035475"
"128.0012603,36.2030198"
"128.0013499,36.2024162"
"128.0015495,36.2010991"
"128.0015549,36.2010594"
"128.0015644,36.2009873"
"128.0016313,36.2004902"
"128.0019107,36.1984308"
"128.0019818,36.1978914"
"128.0021961,36.1962722"
"128.0022745,36.1956579"
"128.0024492,36.1942742"
"128.0026162,36.1932502"
"128.0027168,36.1926313"
"128.0029549,36.1917784"
"128.0032502,36.1909919"
"128.0035781,36.1902711"
"128.0040291,36.1894857"
"128.004559,36.1887018"
"128.0048931,36.1882533"
"128.0055777,36.1874867"
"128.0063759,36.1867414"
"128.006681,36.186457"
"128.0074479,36.185856"
"128.0086095,36.1849072"
"128.0095015,36.1842344"
"128.0096509,36.184113"
"128.0102405,36.1836326"
"128.0109436,36.1829895"
"128.0114861,36.1824373"
"128.012115,36.1816665"
"128.0124743,36.1811826"
"128.0129248,36.1805162"
"128.0134697,36.1794906"
"128.0136977,36.1789803"
"128.0137383,36.178889"
"128.0139744,36.178275"
"128.0142997,36.1769997"
"128.0148019,36.1745489"
"128.0150163,36.1734994"
"128.0151356,36.172875"
"128.015541,36.1707673"
"128.0157788,36.16955"
"128.0160609,36.1679756"
"128.0162134,36.1673177"
"128.016248,36.167167"
"128.0164248,36.1666659"
"128.0164902,36.1664672"
"128.0165491,36.1662912"
"128.0169115,36.1654331"
"128.0174373,36.1645663"
"128.0179365,36.1638916"
"128.0184589,36.1633601"
"128.0188874,36.1629246"
"128.0202999,36.1616581"
"128.0223739,36.1597161"
"128.0237452,36.1584488"
"128.0243198,36.1579279"
"128.0246248,36.1576579"
"128.0249497,36.1573581"
"128.0257839,36.1565917"
"128.0268369,36.1556242"
"128.0276225,36.1549031"
"128.0285871,36.1540162"
"128.0295729,36.1531563"
"128.0297831,36.1529904"
"128.0304244,36.1524827"
"128.0306721,36.1522877"
"128.0308767,36.1521254"
"128.0316374,36.1515243"
"128.0325046,36.1508849"
"128.0332867,36.150308"
"128.0349244,36.149208"
"128.0379619,36.1471659"
"128.0400865,36.145758"
"128.0409572,36.14516"
"128.0417195,36.1446372"
"128.0420116,36.1444475"
"128.0428118,36.1439498"
"128.0433279,36.1436689"
"128.0433711,36.1436452"
"128.0440301,36.1433105"
"128.0443493,36.1431765"
"128.0452318,36.1428461"
