0,1,2
"127.1709897,36.7540569","127.026812,35.9705763","127.3772906,36.3885924"
"127.1709686,36.7535042","127.026853,35.9705819","127.3768334,36.3885928"
"127.1709645,36.7534068","127.0271222,35.9706352","127.3767665,36.3885927"
"127.1709624,36.7533708","127.0273559,35.970692","127.376587,36.3885916"
"127.1709551,36.7532391","127.0277679,35.9707919","127.3763617,36.3886076"
"127.1709198,36.7525936","127.0284988,35.9709688","127.3758743,36.3887081"
"127.1708434,36.7523878","127.0286118,35.9709999","127.3755865,36.3888079"
"127.1707867,36.7520325","127.0286439,35.9710108","127.3751579,36.3890355"
"127.1705566,36.7510763","127.0287944,35.9710637","127.3750798,36.3890832"
"127.1705071,36.750867","127.0289671,35.9711248","127.3749994,36.3891327"
"127.1704372,36.7507117","127.0292004,35.9712375","127.3747494,36.3892911"
"127.170319,36.7505825","127.029733,35.9715687","127.3746244,36.3893911"
"127.1702319,36.7505165","127.0305728,35.9721129","127.3745272,36.3894676"
"127.1701324,36.7504747","127.0308689,35.9723007","127.3743374,36.3896495"
"127.1700194,36.7504411","127.0309816,35.9723697","127.3741619,36.3899243"
"127.169932,36.7504327","127.031102,35.9724504","127.3740992,36.3900748"
"127.1698066,36.7504332","127.0313363,35.9726019","127.3740745,36.3901415"
"127.1696945,36.7504492","127.0314357,35.9726672","127.373996,36.3904182"
"127.1694825,36.7505081","127.0324314,35.9732841","127.3738245,36.3910166"
"127.1693568,36.7505492","127.0324856,35.9733168","127.3735463,36.3920251"
"127.1692323,36.7505993","127.0325121,35.9733331","127.3732827,36.3929832"
"127.168892,36.7507895","127.0328826,35.9735077","127.3732367,36.3931499"
"127.168349,36.7512414","127.0342695,35.974183","127.3731491,36.393533"
"127.168014,36.7515236","127.034472,35.9742766","127.3731373,36.3939242"
"127.1679465,36.7515784","127.034785,35.9744293","127.3731868,36.3943327"
"127.1676529,36.7518525","127.0351809,35.9746256","127.3733903,36.3953841"
"127.1675596,36.7519343","127.0353047,35.9747","127.3734113,36.3955103"
"127.1667128,36.752672","127.035444,35.9747835","127.3736154,36.39687"
"127.1651806,36.7539027","127.0355622,35.9748533","127.3737081,36.3974832"
"127.1647893,36.754228","127.0356219,35.9748932","127.3737335,36.397632"
"127.1642778,36.754625","127.0357788,35.9749975","127.3737888,36.3979268"
"127.1639426,36.7549449","127.0361286,35.9753063","127.3740497,36.3993164"
"127.1637892,36.7551834","127.0362939,35.9754909","127.3740918,36.3995219"
"127.1637435,36.755378","127.0363743,35.9755805","127.374274,36.4006247"
"127.1637609,36.7555106","127.0365429,35.9757677","127.374359,36.4011261"
"127.1638596,36.7557344","127.0366873,35.9759261","127.3744744,36.4015084"
"127.1639644,36.7558393","127.0367369,35.9759831","127.37452,36.4016131"
"127.1641253,36.7559569","127.0368582,35.9761134","127.3746367,36.4018332"
"127.1644062,36.7560127","127.0371095,35.9763857","127.3746667,36.4018837"
"127.1645216,36.7560094","127.038206,35.9776134","127.3748102,36.4021299"
"127.1646619,36.7559629","127.03839,35.9778116","127.3749994,36.4024024"
"127.1648213,36.7558904","127.0386656,35.9781083","127.3752141,36.4027155"
