0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"128.5902063,35.8835713","127.1376353,35.844571","128.0903742,36.1368955","127.0805357,37.6313967","127.0258365,36.7746911","127.8709279,36.9638257","128.6589054,35.2289916","126.801774,35.1639079","127.008083,37.3022951","127.1527189,35.822159","127.2590526,37.4082829","126.801774,35.1639079","127.1254826,35.8366797","126.8376073,37.5085596","127.074108,37.630895","126.9099935,37.6143827","127.0133805,37.6338023","126.8858401,35.140946","127.1653473,36.7805084","126.8682654,35.1329892","127.340056,36.3696945","128.5839398,35.2236505","127.2590526,37.4082829","127.162198,35.8471228","127.1376353,35.844571"
"128.590325,35.8839047","127.1376796,35.8445837","128.0905383,36.1368478","127.0810265,37.6313885","127.0262247,36.7749739","127.8709233,36.9638005","128.6588268,35.2288787","126.8013444,35.1632914","127.006454,37.303278","127.1527372,35.8220319","127.259186,37.4082597","126.8013444,35.1632914","127.1259229,35.836994","126.8376119,37.5085506","127.0739537,37.630926","126.9098225,37.6145107","127.0134247,37.6338069","126.8858937,35.1409779","127.1653285,36.7801892","126.8680122,35.1329464","127.3399795,36.3694798","128.5836325,35.2238444","127.259186,37.4082597","127.1624573,35.8468287","127.1376796,35.8445837"
"128.5904697,35.8844417","127.1380158,35.8446713","128.0908411,36.1367606","127.0811171,37.6313897","127.0265468,36.7750798","127.8708625,36.9635374","128.658285,35.2280968","126.8012739,35.1631909","127.0061765,37.3034454","127.1527475,35.8219643","127.2595061,37.4081612","126.8012739,35.1631909","127.1264007,35.8373372","126.8376637,37.5084418","127.0739254,37.6309295","126.9097758,37.6145456","127.0135243,37.6338164","126.8860457,35.1410481","127.1653118,36.7799043","126.8665071,35.132696","127.3398509,36.3691073","128.5834787,35.2239278","127.2595061,37.4081612","127.1628579,35.8463583","127.1380158,35.8446713"
"128.5904999,35.8845451","127.1381618,35.8447096","128.0909964,36.1367157","127.0816962,37.631399","127.0272106,36.7755566","127.8708418,36.963451","128.6580047,35.2277036","126.8011523,35.1630342","127.0061119,37.303483","127.1527509,35.8219454","127.2599665,37.407999","126.8011523,35.1630342","127.1265684,35.8374684","126.837917,37.5078195","127.0738743,37.630941","126.9092741,37.6149415","127.0136342,37.6338267","126.8860676,35.1410581","127.1653003,36.7792092","126.8662998,35.1326706","127.3396869,36.3686329","128.5831474,35.2240507","127.2599665,37.407999","127.1632408,35.8459095","127.1381618,35.8447096"
"128.5905466,35.8847177","127.1382289,35.8445646","128.0912915,36.1366403","127.0818344,37.6314049","127.0272899,36.7756056","127.8708355,36.963305","128.6579463,35.2276194","126.8008731,35.1628062","127.0046572,37.3043819","127.152768,35.8218345","127.2606509,37.407766","126.8008731,35.1628062","127.1266964,35.8375644","126.8380894,37.507396","127.0738266,37.6309553","126.9090998,37.6150659","127.0139445,37.6338587","126.8865665,35.141286","127.1652289,36.7788638","126.8660947,35.1326605","127.3395617,36.368282","128.5829008,35.2241016","127.2606509,37.407766","127.1633098,35.8458294","127.1382289,35.8445646"
"128.5905478,35.8847213","127.1382837,35.844444","128.0928722,36.1362286","127.0821607,37.631434","127.0273916,36.7756493","127.8708397,36.9632319","128.6578399,35.2274771","126.8006426,35.1626769","127.0044101,37.3045368","127.1528089,35.8215822","127.2607515,37.4077302","126.8006426,35.1626769","127.1268609,35.8376839","126.8381816,37.5071946","127.0735996,37.6310248","126.9088763,37.6152478","127.0141224,37.6338774","126.8867481,35.141369","127.1652247,36.7788088","126.8659498,35.1326597","127.3392403,36.3673422","128.5826235,35.2241545","127.2607515,37.4077302","127.163421,35.8457026","127.1382837,35.844444"
"128.5906857,35.8851691","127.1384483,35.8440568","128.0929575,36.1362011","127.0826716,37.6314763","127.027518,36.7756822","127.8707927,36.9630446","128.657831,35.2274654","126.8003339,35.1625597","127.0040114,37.3047767","127.1528362,35.8214209","127.2608352,37.4077114","126.8003339,35.1625597","127.1274921,35.8381313","126.8382735,37.5070392","127.073312,37.6311662","126.9086744,37.6154117","127.0142605,37.6338897","126.8869526,35.1414629","127.1651965,36.7785833","126.8653757,35.1326666","127.338847,36.3661895","128.581448,35.2243382","127.2608352,37.4077114","127.1635056,35.845601","127.1384483,35.8440568"
"128.5907182,35.885276","127.1385523,35.8438263","128.0933367,36.1360784","127.0829526,37.6314891","127.0276927,36.7757027","127.870772,36.9629455","128.657803,35.2274287","126.8000182,35.1625038","127.0037248,37.3049495","127.1528873,35.8211172","127.2609295,37.4071915","126.8000182,35.1625038","127.1283793,35.8387805","126.8383659,37.5070856","127.0732483,37.6312128","126.9085741,37.6154914","127.0145867,37.6339244","126.8873934,35.141678","127.1651922,36.7785536","126.8651067,35.1326697","127.3386886,36.365716","128.5813001,35.2243701","127.2609295,37.4071915","127.1640797,35.8449751","127.1385523,35.8438263"
"128.5907622,35.8854145","127.1385668,35.8437939","128.093525,36.1359928","127.0830489,37.6314912","127.0279627,36.7757074","127.8707514,36.9628635","128.6577146,35.2273178","126.7999853,35.1624982","127.0034494,37.3051241","127.1529058,35.8209478","127.2609513,37.4070915","126.7999853,35.1624982","127.1289752,35.839225","126.8385507,37.507175","127.0731868,37.6312667","126.9082616,37.6157413","127.0149141,37.6339474","126.8876341,35.1417955","127.1650885,36.7781774","126.8647851,35.1326707","127.3386841,36.3657033","128.5811688,35.224411","127.2609513,37.4070915","127.1648865,35.8440297","127.1385668,35.8437939"
"128.5908249,35.8856249","127.1387926,35.8433239","128.0936633,36.13591","127.0830846,37.6313904","127.028305,36.7756195","127.8707468,36.9628464","128.6576285,35.2272122","126.799495,35.162434","127.0033089,37.3052092","127.1529138,35.8208747","127.2609867,37.4069825","126.799495,35.162434","127.1290304,35.8392631","126.8387184,37.5072661","127.0730874,37.6313997","126.9080553,37.6159025","127.0151859,37.6339773","126.8877205,35.1418383","127.1650231,36.7779987","126.8631673,35.1326604","127.3386741,36.3656745","128.5810421,35.2244698","127.2609867,37.4069825","127.1649421,35.8439686","127.1387926,35.8433239"
"128.5908712,35.8857651","127.138949,35.8430413","128.0937962,36.1358427","127.0831146,37.6313012","127.0286698,36.7755281","127.8707149,36.9627464","128.6570278,35.226466","126.7989467,35.1623569","127.0031616,37.3052996","127.1529151,35.8208315","127.2610186,37.4068852","126.7989467,35.1623569","127.1292412,35.8394035","126.8388333,37.5073307","127.0728365,37.6318747","126.9077622,37.6161327","127.0152958,37.6339886","126.8878987,35.1419249","127.1643873,36.7763012","126.8626767,35.1326579","127.3384891,36.365136","128.5808872,35.2245515","127.2610186,37.4068852","127.1650489,35.8438481","127.138949,35.8430413"
"128.5912211,35.8868068","127.1390676,35.8427693","128.0939024,36.1357781","127.0831479,37.6312175","127.0292725,36.7753746","127.8708945,36.9627206","128.6566866,35.225958","126.7986911,35.1623211","127.0028489,37.3054912","127.1529153,35.8207963","127.2610221,37.406851","126.7986911,35.1623211","127.1294266,35.8395456","126.8389818,37.5074199","127.0727132,37.631831","126.9076505,37.6162232","127.0156368,37.6340161","126.8885114,35.1422066","127.1642965,36.7760549","126.8620883,35.132662","127.3384181,36.3649493","128.5808121,35.2246098","127.2610221,37.406851","127.1650812,35.8438121","127.1390676,35.8427693"
"128.5912315,35.8868383","127.1390955,35.8427045","128.0941665,36.1355794","127.0831857,37.6311483","127.0294464,36.7753329","127.8709158,36.9627179","128.6566552,35.2259195","126.7978624,35.1621613","127.0026246,37.3056245","127.1529066,35.8207575","127.2610256,37.4068231","126.7978624,35.1621613","127.1294994,35.8395963","126.8391225,37.5075045","127.0726872,37.6318201","126.9075387,37.6163128","127.0159709,37.6340527","126.8886853,35.1422868","127.1642216,36.7757409","126.8620576,35.1326618","127.3382423,36.3648183","128.5802851,35.2249734","127.2610256,37.4068231","127.1651702,35.8437204","127.1390955,35.8427045"
"128.5912547,35.8869084","127.1391259,35.8425946","128.094701,36.1351178","127.0833163,37.6308891","127.0299907,36.7751989","127.8718734,36.9625824","128.6565353,35.2259035","126.7977341,35.1621416","127.0021081,37.3059243","127.1528207,35.8206527","127.2610372,37.4067438","126.7977341,35.1621416","127.1295403,35.8396217","126.8402368,37.5081741","127.0724089,37.6317388","126.9073939,37.6164319","127.0163367,37.6340911","126.889007,35.1424336","127.1642086,36.7756508","126.8619533,35.1326622","127.3381255,36.3647172","128.5800977,35.2250968","127.2610372,37.4067438","127.1654971,35.8434003","127.1391259,35.8425946"
"128.5912812,35.8869857","127.1393836,35.8426738","128.0951021,36.1348156","127.0835445,37.6306232","127.0302029,36.7751475","127.872181,36.9625498","128.6564232,35.2259073","126.7959941,35.161851","127.002039,37.3059646","127.1527954,35.820622","127.2610418,37.4067122","126.7959941,35.161851","127.1296066,35.8396552","126.8406367,37.5083747","127.0723003,37.6317078","126.9071247,37.6166496","127.0166245,37.6341076","126.889193,35.1425166","127.1641618,36.7753261","126.8613717,35.1326474","127.3380397,36.3646639","128.5799994,35.22514","127.2610418,37.4067122","127.1659507,35.8429607","127.1393836,35.8426738"
"128.5914314,35.8874351","127.1395705,35.8427321","128.0952569,36.1347031","127.0835995,37.630517","127.0303229,36.7751182","127.8728323,36.962509","128.6564166,35.2259074","126.7954678,35.1617632","127.0014119,37.3062576","127.1529531,35.8205025","127.2611865,37.4066918","126.7954678,35.1617632","127.1297369,35.839716","126.8407809,37.5084422","127.0719314,37.6316046","126.9069062,37.6169144","127.0167864,37.6341245","126.8896098,35.1427036","127.1641456,36.7749231","126.861319,35.1326462","127.3379707,36.3646485","128.5797356,35.2252181","127.2611865,37.4066918","127.1659941,35.842922","127.1395705,35.8427321"
