0,1,2,3,4,5,6,7,8,9,10,11,12
"127.1376796,35.8445837","129.3510324,35.5677019","127.9379947,37.3744762","127.9379947,37.3744762","127.9379947,37.3744762","127.9379947,37.3744762","127.9379947,37.3744762","127.9379947,37.3744762","127.9379947,37.3744762","127.9379947,37.3744762","127.9379947,37.3744762","127.9395841,37.371996","127.9379947,37.3744762"
"127.1380158,35.8446713","129.3510098,35.5679195","127.9380594,37.3747274","127.9380594,37.3747274","127.9380594,37.3747274","127.9380594,37.3747274","127.9380594,37.3747274","127.9380594,37.3747274","127.9380594,37.3747274","127.9380594,37.3747274","127.9380594,37.3747274","127.9397003,37.3719784","127.9380594,37.3747274"
"127.1381618,35.8447096","129.3509939,35.5680424","127.9380975,37.3748589","127.9380975,37.3748589","127.9380975,37.3748589","127.9380975,37.3748589","127.9380975,37.3748589","127.9380975,37.3748589","127.9380975,37.3748589","127.9380975,37.3748589","127.9380975,37.3748589","127.9398154,37.37196","127.9380975,37.3748589"
"127.1382289,35.8445646","129.3509549,35.5686993","127.9381764,37.3752263","127.9381764,37.3752263","127.9381764,37.3752263","127.9381764,37.3752263","127.9381764,37.3752263","127.9381764,37.3752263","127.9381764,37.3752263","127.9381764,37.3752263","127.9381764,37.3752263","127.940304,37.3718933","127.9381764,37.3752263"
"127.1382837,35.844444","129.3509492,35.5688364","127.9384597,37.3765503","127.9384597,37.3765503","127.9384597,37.3765503","127.9384597,37.3765503","127.9384597,37.3765503","127.9384597,37.3765503","127.9384597,37.3765503","127.9384597,37.3765503","127.9384597,37.3765503","127.9406019,37.3718462","127.9384597,37.3765503"
"127.1384483,35.8440568","129.3509435,35.568923","127.9384841,37.3766638","127.9384841,37.3766638","127.9384841,37.3766638","127.9384841,37.3766638","127.9384841,37.3766638","127.9384841,37.3766638","127.9384841,37.3766638","127.9384841,37.3766638","127.9384841,37.3766638","127.9407475,37.3718231","127.9384841,37.3766638"
"127.1385523,35.8438263","129.3509396,35.5689934","127.9385492,37.3769826","127.9385492,37.3769826","127.9385492,37.3769826","127.9385492,37.3769826","127.9385492,37.3769826","127.9385492,37.3769826","127.9385492,37.3769826","127.9385492,37.3769826","127.9385492,37.3769826","127.9407938,37.3718184","127.9385492,37.3769826"
"127.1385668,35.8437939","129.3508994,35.569452","127.938621,37.3772798","127.938621,37.3772798","127.938621,37.3772798","127.938621,37.3772798","127.938621,37.3772798","127.938621,37.3772798","127.938621,37.3772798","127.938621,37.3772798","127.938621,37.3772798","127.9408637,37.3718055","127.938621,37.3772798"
"127.1387926,35.8433239","129.350889,35.5696225","127.9387494,37.3778076","127.9387494,37.3778076","127.9387494,37.3778076","127.9387494,37.3778076","127.9387494,37.3778076","127.9387494,37.3778076","127.9387494,37.3778076","127.9387494,37.3778076","127.9387494,37.3778076","127.9410837,37.3717651","127.9387494,37.3778076"
"127.138949,35.8430413","129.3509308,35.569712","127.9389743,37.3787992","127.9389743,37.3787992","127.9389743,37.3787992","127.9389743,37.3787992","127.9389743,37.3787992","127.9389743,37.3787992","127.9389743,37.3787992","127.9389743,37.3787992","127.9389743,37.3787992","127.9411401,37.3717549","127.9389743,37.3787992"
"127.1390676,35.8427693","129.3509676,35.56978","127.9390279,37.3790775","127.9390279,37.3790775","127.9390279,37.3790775","127.9390279,37.3790775","127.9390279,37.3790775","127.9390279,37.3790775","127.9390279,37.3790775","127.9390279,37.3790775","127.9390279,37.3790775","127.9411898,37.3717457","127.9390279,37.3790775"
"127.1390955,35.8427045","129.3510411,35.5698546","127.939029,37.3790802","127.939029,37.3790802","127.939029,37.3790802","127.939029,37.3790802","127.939029,37.3790802","127.939029,37.3790802","127.939029,37.3790802","127.939029,37.3790802","127.939029,37.3790802","127.9416681,37.3716565","127.939029,37.3790802"
"127.1391259,35.8425946","129.3510874,35.5698998","127.9390372,37.3791162","127.9390372,37.3791162","127.9390372,37.3791162","127.9390372,37.3791162","127.9390372,37.3791162","127.9390372,37.3791162","127.9390372,37.3791162","127.9390372,37.3791162","127.9390372,37.3791162","127.941843,37.3716234","127.9390372,37.3791162"
"127.1393836,35.8426738","129.3511845,35.5699515","127.9390822,37.3792954","127.9390822,37.3792954","127.9390822,37.3792954","127.9390822,37.3792954","127.9390822,37.3792954","127.9390822,37.3792954","127.9390822,37.3792954","127.9390822,37.3792954","127.9390822,37.3792954","127.9419616,37.3718159","127.9390822,37.3792954"
