0,1,2,3,4,5,6,7
"127.5245873,34.9425106","126.7342759,37.4360748","127.1355997,37.5205467","129.3613293,35.5615663","128.5545119,35.8568665","128.5545119,35.8568665","129.3613293,35.5615663","126.9122357,37.5151081"
"127.5245992,34.9420498","126.7340656,37.4360762","127.1367486,37.5200293","129.3616019,35.561572","128.5544273,35.8568348","128.5544273,35.8568348","129.3616019,35.561572","126.9118546,37.5146411"
"127.5246374,34.9416747","126.7339017,37.4360769","127.1381117,37.5194242","129.361678,35.5615709","128.55405,35.8566939","128.55405,35.8566939","129.361678,35.5615709","126.9116562,37.5143985"
"127.5246472,34.9414403","126.7335196,37.4360771","127.1385653,37.5192299","129.3623788,35.561579","128.5538864,35.8566331","128.5538864,35.8566331","129.3623788,35.561579","126.9116372,37.514375"
"127.5246494,34.9413492","126.7327295,37.4360774","127.1388193,37.519119","129.3624538,35.5615778","128.553016,35.8563044","128.553016,35.8563044","129.3624538,35.5615778","126.9114882,37.5141823"
"127.5237207,34.9412673","126.7324209,37.4360772","127.139087,37.5190017","129.3626478,35.5615694","128.552356,35.8560551","128.552356,35.8560551","129.3626478,35.5615694","126.9113953,37.5140592"
"127.5229804,34.9412792","126.7323339,37.4360766","127.1400078,37.5185899","129.3641858,35.5613816","128.5520087,35.8559175","128.5520087,35.8559175","129.3641858,35.5613816","126.9113236,37.5139633"
"127.5226848,34.9412927","126.73217,37.4360729","127.1421602,37.5176383","129.3644068,35.5613475","128.5519084,35.855876","128.5519084,35.855876","129.3644068,35.5613475","126.911271,37.5138927"
"127.5226991,34.9415065","126.732172,37.4359909","127.1433813,37.5171498","129.3649962,35.5612644","128.5518661,35.8558583","128.5518661,35.8558583","129.3649962,35.5612644","126.9112094,37.5138104"
"127.5227101,34.9419474","126.732174,37.4357917","127.1435456,37.517089","129.3653371,35.5612159","128.5517559,35.8558133","128.5517559,35.8558133","129.3653371,35.5612159","126.910956,37.5136523"
"127.5227058,34.942282","126.7321795,37.4357016","127.1437836,37.5170276","129.3655241,35.5611941","128.5504321,35.8552848","128.5504321,35.8552848","129.3655241,35.5611941","126.9106903,37.513486"
"127.5227048,34.9423325","126.7321872,37.4348327","127.1438153,37.5170195","129.3663942,35.5610823","128.5503999,35.8552716","128.5503999,35.8552716","129.3663942,35.5610823","126.9106632,37.5134742"
"127.5226896,34.943089","126.7321914,37.4335384","127.1438912,37.5170044","129.3665691,35.561058","128.5503242,35.8552416","128.5503242,35.8552416","129.3665691,35.561058","126.9101242,37.5132417"
"127.5226919,34.9431666","126.7321922,37.4333482","127.144215,37.5169531","129.3677049,35.5609385","128.5485867,35.8545833","128.5485867,35.8545833","129.3677049,35.5609385","126.9100926,37.5132334"
"127.5226451,34.9444354","126.7321958,37.4332175","127.1446001,37.5168975","129.3679019,35.5609183","128.5483697,35.8545014","128.5483697,35.8545014","129.3679019,35.5609183","126.9098599,37.5131799"
"127.5226397,34.9448222","126.7322039,37.4329787","127.145224,37.5168075","129.3690767,35.5607676","128.5482195,35.854445","128.5482195,35.854445","129.3690767,35.5607676","126.9097582,37.5131587"
"127.5226409,34.9449981","126.7322061,37.4328778","127.145831,37.5167101","129.3695947,35.5606983","128.5481872,35.8544335","128.5481872,35.8544335","129.3695947,35.5606983","126.9096204,37.5131301"
"127.5226367,34.9457492","126.7322064,37.4328409","127.1463689,37.5166234","129.3704614,35.5605821","128.5481627,35.8544238","128.5481627,35.8544238","129.3704614,35.5605821","126.9093029,37.513069"
"127.5226302,34.9460017","126.7322147,37.4326976","127.1470866,37.5165588","129.3710212,35.5605076","128.5480993,35.8543991","128.5480993,35.8543991","129.3710212,35.5605076","126.9091685,37.5130422"
"127.5226053,34.9468908","126.7322184,37.4325579","127.1471693,37.5165519","129.3710872,35.5605011","128.5477843,35.8542838","128.5477843,35.8542838","129.3710872,35.5605011","126.9091414,37.5130366"
"127.5225977,34.9471587","126.7322358,37.4322885","127.1475564,37.516517","129.3714999,35.5604569","128.547633,35.8542256","128.547633,35.8542256","129.3714999,35.5604569","126.9091086,37.5130347"
