smiles,use_AUTOCORR3D_071,use_AUTOCORR3D_072,use_AUTOCORR3D_073
C/C(=C\C(=O)OC(C)C)/OP(=S)(NCC)OC,0.403,0.544,0.691
COP(=O)(NC(C)=O)SC,0.776,0.921,0.838
CCSCc1ccccc1OC(=O)NC,0.421,0.569,0.682
Clc1cc2Oc3ccccc3Oc2cc1Cl,0.538,0.759,0.692
CCO/N=C(\OC(=O)c1ccccc1)/c1c(ccc(Cl)c1OC)OC,0.266,0.412,0.531
CCN(CC)c1c(cc(c(N)c1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,0.303,0.505,0.706
FCOC(C(F)(F)F)C(F)(F)F,0.432,0.544,0.662
Clc1cccc(Cl)c1Oc1ccccc1,0.514,0.672,0.687
CCN(CC)C(=O)SCc1ccc(Cl)cc1,0.446,0.619,0.598
CNC1C=NN(C(=O)C=1Cl)c1cc(ccc1)C(F)(F)F,0.365,0.549,0.603
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,0.183,0.246,0.304
O=CNC(N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,0.427,0.508,0.753
CCCN(CC1CC1)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,0.265,0.411,0.606
COc1[n]c(NCC)[n]c(NC(C)CC)[n]1,0.364,0.512,0.626
CCOC1Oc2ccc(cc2C1(C)C)OS(C)(=O)=O,0.417,0.55,0.649
CC(C)OP(=O)(OC(C)C)SCc1ccccc1,0.422,0.535,0.691
CC(C)=CC1C(C(=O)OCc2cccc(c2)Oc2ccccc2)C1(C)C,0.271,0.332,0.419
CC(C)c1ccccc1-c1ccccc1,0.489,0.657,0.791
Cl.CCCOC(=O)NCCCN(C)C,0.32,0.37,0.434
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,0.33,0.462,0.658
CCOC(=O)CN1C(=O)Sc2cccc(Cl)c12,0.474,0.663,0.781
CC(C)N1C(=O)c2ccccc2NS1(=O)=O,0.523,0.781,0.888
Clc1cc(Oc2ccccc2)c(Cl)cc1,0.514,0.64,0.6
Clc1cc(cc(Cl)c1)Oc1ccccc1,0.513,0.605,0.711
CC=C(C)C(C)C,0.838,0.963,0.391
CCCCC(COC(=O)Cl)CC,0.453,0.565,0.668
CC1CCCCN1C(=O)CSP(=S)(OCCC)OCCC,0.371,0.503,0.587
CC(C)(C#C)NC(=O)c1cc(Cl)cc(Cl)c1,0.495,0.626,0.764
Cc1[n]c(NCC)[n]c(O)c1CCCC,0.414,0.61,0.696
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,0.288,0.398,0.533
Cc1cc([n]c([n]1)N(CC)CC)OP(=S)(OCC)OCC,0.333,0.504,0.663
CC(C)COCC(C)O,0.576,0.473,0.581
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,0.299,0.48,0.639
Cc1[n]c([n]c(OC(=O)N(C)C)c1C)N(C)C,0.394,0.551,0.581
CC(C)Nc1[n]c(NC2CC2)[n]c(Cl)[n]1,0.419,0.543,0.748
