0,1,2,3,4,5
"128.9757306,35.1628865","127.2640622,37.0092311","128.9757306,35.1628865","127.6468601,34.7806272","128.8717447,35.2528567","127.010266,37.506337"
"128.9755775,35.1623735","127.2642234,37.0090764","128.9755775,35.1623735","127.646181,34.7810609","128.871813,35.252672","127.0102119,37.5063188"
"128.9755015,35.1621202","127.2645919,37.0087553","128.9755015,35.1621202","127.6460828,34.7811187","128.8718404,35.2525995","127.0100741,37.5062704"
"128.9748356,35.1598977","127.2647362,37.0086294","128.9748356,35.1598977","127.6458011,34.7812904","128.8718467,35.2525814","127.0099037,37.506213"
"128.974811,35.159815","127.2648827,37.0085107","128.974811,35.159815","127.6456843,34.7813627","128.8721261,35.2518164","127.0096836,37.5061273"
"128.9746743,35.1593578","127.2651551,37.0083895","128.9746743,35.1593578","127.6455718,34.7814322","128.8722949,35.2513321","127.0092506,37.5069358"
"128.9745498,35.1589067","127.2653867,37.0083476","128.9745498,35.1589067","127.645491,34.7814819","128.8723621,35.2511411","127.0092986,37.5072082"
"128.9743764,35.1583615","127.265479,37.0083297","128.9743764,35.1583615","127.6445139,34.7820891","128.8724167,35.2509917","127.0093589,37.5073338"
"128.9742565,35.1579825","127.2655487,37.0083155","128.9742565,35.1579825","127.6444364,34.782137","128.8724742,35.2508162","127.0093981,37.5073889"
"128.9742495,35.1579636","127.2659749,37.0082316","128.9742495,35.1579636","127.6443872,34.7821695","128.8726853,35.250234","127.0096118,37.5075827"
"128.9742247,35.1578666","127.2663461,37.0081557","128.9742247,35.1578666","127.6440095,34.7824206","128.8727043,35.2501851","127.0102883,37.5077847"
"128.9741047,35.1574803","127.2664631,37.0081334","128.9741047,35.1574803","127.6423348,34.7835345","128.8727748,35.2499995","127.0104565,37.507835"
"128.9739412,35.1568746","127.2670198,37.0080254","128.9739412,35.1568746","127.641659,34.7839853","128.8727991,35.2499415","127.0112436,37.5080708"
"128.9739308,35.1568495","127.2670951,37.0080111","128.9739308,35.1568495","127.6416513,34.7839916","128.8730409,35.2492905","127.0113972,37.5081156"
"128.9737622,35.1563241","127.2674831,37.0079434","128.9737622,35.1563241","127.6409418,34.7845164","128.873062,35.2492407","127.0115745,37.508165"
"128.9737352,35.1562307","127.2676192,37.0079184","128.9737352,35.1562307","127.640467,34.784892","128.8731055,35.2490797","127.0116479,37.5081851"
"128.973433,35.1551776","127.2681174,37.0078229","128.973433,35.1551776","127.6404222,34.7849273","128.8731738,35.2488265","127.0118422,37.5082337"
"128.9733873,35.1550159","127.2682299,37.0078006","128.9733873,35.1550159","127.6398733,34.7854473","128.8727812,35.2488156","127.0120229,37.508284"
"128.9732092,35.1543374","127.2683795,37.0077702","128.9732092,35.1543374","127.6395263,34.7858039","128.8727317,35.2488161","127.012425,37.508402"
"128.9731621,35.1541576","127.2689396,37.0076587","128.9731621,35.1541576","127.6392416,34.7861469","128.872679,35.2488158","127.0129286,37.5085483"
"128.9730857,35.1539385","127.2690498,37.0076354","128.9730857,35.1539385","127.6390289,34.7864033","128.871792,35.2488142","127.0130551,37.5085848"
"128.9730579,35.1538568","127.2691859,37.0076059","128.9730579,35.1538568","127.6382511,34.7873402","128.8717019,35.2488152","127.0144215,37.5090042"
"128.9730195,35.1537365","127.2695132,37.0075417","128.9730195,35.1537365","127.6372313,34.7886787","128.8716183,35.2488153","127.0154748,37.5091915"
"128.9732122,35.153708","127.2698202,37.0074792","128.9732122,35.153708","127.6367755,34.7893357","128.8707369,35.2488153","127.0155811,37.5091955"
"128.9735668,35.1536478","127.2700496,37.0074391","128.9735668,35.1536478","127.636357,34.7900828","128.8701159,35.248816","127.0156026,37.5091965"
"128.974689,35.1534808","127.2700845,37.0074319","128.974689,35.1534808","127.6362546,34.790303","128.869906,35.2488166","127.0156695,37.5091878"
"128.9757955,35.1532907","127.2711698,37.0072077","128.9757955,35.1532907","127.6361326,34.7905637","128.8697367,35.2488158","127.0157556,37.5091647"
"128.9760317,35.1532427","127.2712868,37.0071836","128.9760317,35.1532427","127.6359202,34.7910212","128.869674,35.2488165","127.0158373,37.5091209"
"128.976121,35.1532046","127.2713892,37.0071622","128.976121,35.1532046","127.6357505,34.7914813","128.8692322,35.2488161","127.0159262,37.509032"
"128.9762022,35.1531414","127.2723305,37.0069648","128.9762022,35.1531414","127.6356494,34.7918213","128.8691498,35.2488162","127.0160037,37.5089359"
"128.9762506,35.153084","127.2724498,37.0069398","128.9762506,35.153084","127.6354461,34.7925493","128.8690915,35.2488168","127.0160496,37.5088351"
"128.9762759,35.1530278","127.2725735,37.0069157","128.9762759,35.1530278","127.6352967,34.7933926","128.8687377,35.2488208","127.0162999,37.5082827"
"128.9763033,35.1529617","127.2732753,37.0067782","128.9763033,35.1529617","127.6352119,34.7943693","128.8686662,35.2488207","127.016441,37.5079804"
"128.9763135,35.152921","127.2734226,37.0067478","128.9763135,35.152921","127.6351982,34.7953252","128.8686421,35.248821","127.0166786,37.5074568"
"128.9763214,35.1528695","127.2736262,37.0067049","128.9763214,35.1528695","127.6352802,34.7967256","128.86862,35.2488167","127.0175154,37.5052447"
"128.9763059,35.1526803","127.2740591,37.0066192","128.9763059,35.1526803","127.6352937,34.796951","128.8685747,35.2488046","127.0177058,37.5050138"
"128.9762635,35.152341","127.2741626,37.0066005","128.9762635,35.152341","127.635296,34.7969952","128.8684331,35.2487503","127.0181718,37.503798"
"128.9762622,35.1523265","127.2745,37.0065398","128.9762622,35.1523265","127.6353117,34.7972666","128.8684099,35.2487416","127.0183893,37.5032301"
"128.9762544,35.152259","127.2748992,37.0064649","128.9762544,35.152259","127.6355588,34.8013081","128.868371,35.2487132","127.0185171,37.5028944"
"128.9761578,35.1521403","127.2754897,37.006347","128.9761578,35.1521403","127.6355927,34.8019609","128.8683474,35.2486864","127.0185343,37.5028503"
"128.9760943,35.1520879","127.2756123,37.0063229","128.9760943,35.1520879","127.6356484,34.8026129","128.8683169,35.2486353","127.0185355,37.5028485"
"128.9760365,35.1520516","127.2757146,37.0063024","128.9760365,35.1520516","127.6357576,34.8031565","128.8682863,35.2485798","127.0187173,37.5023734"
