0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"127.1207956,37.4130356","128.584464,35.2229966","128.584464,35.2229966","128.5650583,35.8586749","128.8429699,35.898891","127.6481821,34.7797229","128.482841,35.8526409","127.3661143,36.3224037","128.584464,35.2229966","126.7647435,37.5123892","128.5574372,35.8578163","128.5574372,35.8578163","128.5650583,35.8586749","126.4100624,34.8252496","126.7425619,37.3332826","126.7344924,37.4341275","128.5574372,35.8578163"
"127.1208373,37.4130628","128.5844211,35.2230799","128.5844211,35.2230799","128.5649623,35.8589498","128.8423521,35.8993126","127.6481493,34.7797464","128.4820992,35.8527497","127.366347,36.3224788","128.5844211,35.2230799","126.7647429,37.5123333","128.5573823,35.857934","128.5573823,35.857934","128.5649623,35.8589498","126.4107181,34.8255287","126.7427129,37.3331899","126.7345436,37.4342098","128.5573823,35.857934"
"127.1209262,37.4131307","128.5843438,35.2232158","128.5843438,35.2232158","128.5648525,35.859269","128.8421593,35.8994446","127.6480762,34.7797961","128.4813299,35.8528669","127.3664438,36.3225339","128.5843438,35.2232158","126.7647261,37.5122052","128.5573748,35.8579494","128.5573748,35.8579494","128.5648525,35.859269","126.411537,34.8258741","126.7439998,37.3323995","126.7345754,37.4343002","128.5573748,35.8579494"
"127.1209657,37.4131542","128.5841882,35.2234084","128.5841882,35.2234084","128.5647866,35.8594743","128.8417746,35.8996247","127.6468601,34.7806272","128.4812127,35.852885","127.3665339,36.3226161","128.5841882,35.2234084","126.7646806,37.5120039","128.5572045,35.8578905","128.5572045,35.8578905","128.5647866,35.8594743","126.4117966,34.8260027","126.7453742,37.3315429","126.7346413,37.4344899","128.5572045,35.8578905"
"127.1210401,37.4131905","128.5840787,35.223523","128.5840787,35.223523","128.5646618,35.8599208","128.8412868,35.8998078","127.646181,34.7810609","128.4810624,35.8529078","127.3666498,36.3226162","128.5840787,35.223523","126.7645959,37.5116383","128.5571878,35.8578852","128.5571878,35.8578852","128.5646618,35.8599208","126.4119248,34.8260661","126.7463784,37.3309112","126.7346588,37.4345495","128.5571878,35.8578852"
"127.122259,37.4137181","128.5839398,35.2236505","128.5839398,35.2236505","128.5646249,35.8600581","128.841194,35.899825","127.6460828,34.7811187","128.4809386,35.8529251","127.3667312,36.3225667","128.5839398,35.2236505","126.7645289,37.5113197","128.5570299,35.8578307","128.5570299,35.8578307","128.5646249,35.8600581","126.4122634,34.8262612","126.7464602,37.3308612","126.7346683,37.4347244","128.5570299,35.8578307"
"127.122303,37.4137354","128.5836325,35.2238444","128.5836325,35.2238444","128.5645993,35.8602161","128.8406263,35.8999341","127.6458011,34.7812904","128.4797325,35.853099","127.367471,36.3225396","128.5836325,35.2238444","126.7645039,37.5112105","128.5565879,35.8576606","128.5565879,35.8576606","128.5645993,35.8602161","126.4127203,34.826524","126.7470076,37.3305249","126.7346434,37.4348405","128.5565879,35.8576606"
"127.1223289,37.4137436","128.5834787,35.2239278","128.5834787,35.2239278","128.5642992,35.8601358","128.8403656,35.8999785","127.6456843,34.7813627","128.4792967,35.8531449","127.3675489,36.3225748","128.5834787,35.2239278","126.764468,37.5110598","128.5564321,35.8576033","128.5564321,35.8576033","128.5642992,35.8601358","126.4128026,34.8265861","126.7470848,37.3304803","126.7346002,37.4349746","128.5564321,35.8576033"
"127.1225761,37.4138129","128.5831474,35.2240507","128.5831474,35.2240507","128.563542,35.859909","128.8382452,35.900269","127.6455718,34.7814322","128.4789008,35.853186","127.367599,36.3225749","128.5831474,35.2240507","126.7644388,37.5109316","128.556244,35.8575302","128.556244,35.8575302","128.563542,35.859909","126.412874,34.8266498","126.7471712,37.3304232","126.7345667,37.4350419","128.556244,35.8575302"
"127.1227883,37.4138442","128.5829008,35.2241016","128.5829008,35.2241016","128.5633997,35.8598661","128.8380187,35.900304","127.645491,34.7814819","128.4785025,35.8532172","127.3677584,36.3225696","128.5829008,35.2241016","126.7644355,37.5109172","128.5554959,35.8572383","128.5554959,35.8572383","128.5633997,35.8598661","126.412918,34.8267116","126.7476368,37.3301332","126.7344321,37.4352772","128.5554959,35.8572383"
"127.1239613,37.4138425","128.5826235,35.2241545","128.5826235,35.2241545","128.5633418,35.8598495","128.8374097,35.9003946","127.6445139,34.7820891","128.4783718,35.8532174","127.367862,36.3225661","128.5826235,35.2241545","126.7644064,37.5107728","128.5549527,35.857033","128.5549527,35.857033","128.5633418,35.8598495","126.4129606,34.8267949","126.7481661,37.3298112","126.7343447,37.4354173","128.5549527,35.857033"
"127.1242009,37.4138406","128.581448,35.2243382","128.581448,35.2243382","128.563184,35.859804","128.8369675,35.900459","127.6444364,34.782137","128.478167,35.8532236","127.3679188,36.3225644","128.581448,35.2243382","126.7643697,37.5105851","128.5546967,35.856937","128.5546967,35.856937","128.563184,35.859804","126.4130603,34.8271132","126.7482001,37.3297906","126.7342822,37.4356765","128.5546967,35.856937"
"127.1242314,37.4138407","128.5813001,35.2243701","128.5813001,35.2243701","128.5628982,35.8597218","128.8361067,35.9005984","127.6443872,34.7821695","128.4780796,35.8532279","127.3680403,36.3225609","128.5813001,35.2243701","126.7643503,37.5104885","128.5545119,35.8568665","128.5545119,35.8568665","128.5628982,35.8597218","126.4130758,34.8271837","126.748325,37.3297157","126.7342759,37.4360748","128.5545119,35.8568665"
"127.1249999,37.4138422","128.5811688,35.224411","128.5811688,35.224411","128.5621222,35.859497","128.8359299,35.9006275","127.6440095,34.7824206","128.4777009,35.8532337","127.3683177,36.3225495","128.5811688,35.224411","126.7641746,37.509596","128.5544273,35.8568348","128.5544273,35.8568348","128.5621222,35.859497","126.4131132,34.8273346","126.7487543,37.3294525","126.7340656,37.4360762","128.5544273,35.8568348"
"127.1250123,37.4138423","128.5810421,35.2244698","128.5810421,35.2244698","128.5619865,35.8594576","128.8351859,35.9007286","127.6423348,34.7835345","128.4774994,35.8532353","127.3687165,36.3225409","128.5810421,35.2244698","126.7641714,37.5095806","128.55405,35.8566939","128.55405,35.8566939","128.5619865,35.8594576","126.4131495,34.8274828","126.7488202,37.3294115","126.7339017,37.4360769","128.55405,35.8566939"
"127.1257954,37.4138348","128.5808872,35.2245515","128.5808872,35.2245515","128.5606375,35.8590331","128.8348577,35.9007827","127.641659,34.7839853","128.476411,35.8532577","127.3688202,36.3225383","128.5808872,35.2245515","126.7641616,37.5095418","128.5538864,35.8566331","128.5538864,35.8566331","128.5606375,35.8590331","126.4131854,34.8276653","126.7489054,37.3293616","126.7335196,37.4360771","128.5538864,35.8566331"
"127.1258395,37.413835","128.5808121,35.2246098","128.5808121,35.2246098","128.5606041,35.8590226","128.8348234,35.9007885","127.6416513,34.7839916","128.4758242,35.8532661","127.369668,36.3225221","128.5808121,35.2246098","126.7638973,37.5083387","128.553016,35.8563044","128.553016,35.8563044","128.5606041,35.8590226","126.4131997,34.8277411","126.7490723,37.3292608","126.7327295,37.4360774","128.553016,35.8563044"
"127.1260497,37.4138284","128.5802851,35.2249734","128.5802851,35.2249734","128.5597867,35.8587666","128.8347085,35.900806","127.6409418,34.7845164","128.4754092,35.8532857","127.3700312,36.3225198","128.5802851,35.2249734","126.7638822,37.5082629","128.552356,35.8560551","128.552356,35.8560551","128.5597867,35.8587666","126.4132741,34.8279077","126.7491768,37.3291974","126.7324209,37.4360772","128.552356,35.8560551"
"127.1262758,37.4138219","128.5800977,35.2250968","128.5800977,35.2250968","128.5595742,35.8586936","128.8340454,35.900909","127.640467,34.784892","128.4752187,35.853289","127.3701047,36.3225199","128.5800977,35.2250968","126.7638747,37.5082232","128.5520087,35.8559175","128.5520087,35.8559175","128.5595742,35.8586936","126.4133741,34.8280339","126.7497059,37.3288871","126.7323339,37.4360766","128.5520087,35.8559175"
