0,1,2,3,4,5,6,7,8,9,10,11,12,13
"127.1429799,37.559808","127.1653862,36.7823764","127.0093524,35.966266","127.1330196,37.5193679","127.2649384,37.0097502","127.0106346,37.5056941","128.3241372,36.1234244","128.5652614,35.8580492","128.5896226,35.8817257","126.7343232,37.4339858","126.7343232,37.4339858","127.3779691,36.3775033","126.7343232,37.4339858","127.0535472,37.5835355"
"127.1425936,37.5600953","127.1653864,36.7823331","127.0100921,35.9651871","127.1330309,37.5193859","127.2652269,37.0098878","127.0106128,37.5057346","128.3246984,36.1236424","128.5652123,35.8581831","128.5896702,35.8818831","126.7343949,37.4340448","126.7343949,37.4340448","127.3779868,36.3775844","126.7343949,37.4340448","127.0535963,37.5834671"
"127.1420508,37.5604154","127.1653785,36.7820933","127.0100445,35.9648073","127.1331431,37.5195648","127.2652909,37.0099186","127.0105635,37.5058263","128.3250865,36.1237749","128.5650999,35.8585582","128.5897109,35.8820224","126.734405,37.4340557","126.734405,37.4340557","127.3780035,36.3776061","126.734405,37.4340557","127.0536865,37.5833332"
"127.1406228,37.5611736","127.1653746,36.7819553","127.0100197,35.9646954","127.1331689,37.5196153","127.2654861,37.0100227","127.0104445,37.5060439","128.3251545,36.1237952","128.5650583,35.8586749","128.5897306,35.8820881","126.7344924,37.4341275","126.7344924,37.4341275","127.378028,36.3776214","126.7344924,37.4341275","127.0537757,37.5831992"
"127.1396385,37.5617069","127.1653726,36.7819121","127.0099466,35.964513","127.133262,37.5197977","127.2656432,37.0101311","127.0103471,37.506222","128.3252503,36.1238117","128.5649623,35.8589498","128.5897632,35.8821996","126.7345436,37.4342098","126.7345436,37.4342098","127.3781216,36.3776621","126.7345436,37.4342098","127.053858,37.5830778"
"127.1389584,37.5621059","127.165365,36.7815965","127.0096138,35.964335","127.1333941,37.5200811","127.2657329,37.0102016","127.0103448,37.5062274","128.3256372,36.1238324","128.5648525,35.859269","128.5899243,35.8827165","126.7345754,37.4343002","126.7345754,37.4343002","127.3781628,36.3776802","126.7345754,37.4343002","127.053898,37.5830176"
"127.1383541,37.5625025","127.1653618,36.7815469","127.0092666,35.9641803","127.1334902,37.5203392","127.2658998,37.0103777","127.010266,37.506337","128.3257873,36.1238413","128.5647866,35.8594743","128.5899869,35.8829233","126.7346413,37.4344899","126.7346413,37.4344899","127.3784915,36.3778175","126.7346413,37.4344899","127.0539791,37.5828962"
"127.1382859,37.5625491","127.1653237,36.7810339","127.0089202,35.9640625","127.1335738,37.5206018","127.2659624,37.0104896","127.0102119,37.5063188","128.3260741,36.1238493","128.5646618,35.8599208","128.5901371,35.8833745","126.7346588,37.4345495","126.7346588,37.4345495","127.3785361,36.3778329","126.7346588,37.4345495","127.0540682,37.5827641"
"127.1380394,37.5627197","127.1653473,36.7805084","127.0084617,35.9639588","127.1335882,37.5206487","127.2660116,37.0105727","127.0100741,37.5062704","128.3268032,36.1238596","128.5646249,35.8600581","128.5902063,35.8835713","126.7346683,37.4347244","126.7346683,37.4347244","127.3787266,36.3779034","126.7346683,37.4347244","127.0542625,37.5824746"
"127.137238,37.563359","127.1653285,36.7801892","127.0081947,35.9639144","127.1338467,37.5207964","127.2660205,37.010597","127.0099037,37.506213","128.3268999,36.1238607","128.5645993,35.8602161","128.590325,35.8839047","126.7346434,37.4348405","126.7346434,37.4348405","127.3788793,36.3779414","126.7346434,37.4348405","127.0544657,37.5822094"
"127.1370786,37.5635514","127.1653118,36.7799043","127.0082275,35.96381","127.1339223,37.5208399","127.2661754,37.0110517","127.0096836,37.5061273","128.3269488,36.1238631","128.5642992,35.8601358","128.5904697,35.8844417","126.7346002,37.4349746","126.7346002,37.4349746","127.379042,36.3779551","126.7346002,37.4349746","127.0545558,37.5820926"
"127.1368385,37.563794","127.1653003,36.7792092","127.0085155,35.9638616","127.1340849,37.5209161","127.2662244,37.0111978","127.0092506,37.5069358","128.3271367,36.1238762","128.563542,35.859909","128.5904999,35.8845451","126.7345667,37.4350419","126.7345667,37.4350419","127.3797656,36.3779586","126.7345667,37.4350419","127.0546631,37.5819533"
"127.1368271,37.5638057","127.1652289,36.7788638","127.0089762,35.9639699","127.1342262,37.5209454","127.2662744,37.011398","127.0092986,37.5072082","128.3271813,36.123884","128.5633997,35.8598661","128.5905466,35.8847177","126.7344321,37.4352772","126.7344321,37.4352772","127.3805917,36.3779621","126.7344321,37.4352772","127.0547624,37.5818248"
"127.1366279,37.5640151","127.1652247,36.7788088","127.0093647,35.9640905","127.1343653,37.5209602","127.2662741,37.0114728","127.0093589,37.5073338","128.3272191,36.12389","128.5633418,35.8598495","128.5905478,35.8847213","126.7343447,37.4354173","126.7343447,37.4354173","127.3811124,36.3779653","126.7343447,37.4354173","127.054791,37.5817852"
"127.136547,37.5641338","127.1651965,36.7785833","127.0096401,35.9642188","127.1346867,37.5209666","127.2662627,37.0115395","127.0093981,37.5073889","128.3273182,36.1239074","128.563184,35.859804","128.5906857,35.8851691","126.7342822,37.4356765","126.7342822,37.4356765","127.3812617,36.3779664","126.7342822,37.4356765","127.0549737,37.5815398"
"127.1364897,37.5642661","127.1651922,36.7785536","127.0097473,35.9642688","127.1355997,37.5205467","127.2660732,37.0120989","127.0096118,37.5075827","128.3276782,36.1240104","128.5628982,35.8597218","128.5907182,35.885276","126.7342759,37.4360748","126.7342759,37.4360748","127.3821024,36.3779699","126.7342759,37.4360748","127.055057,37.5814275"
"127.1364667,37.5643427","127.1650885,36.7781774","127.0100336,35.9644205","127.1367486,37.5200293","127.2660131,37.0122926","127.0102883,37.5077847","128.3281866,36.1241664","128.5621222,35.859497","128.5907622,35.8854145","126.7340656,37.4360762","126.7340656,37.4360762","127.3828438,36.3779733","126.7340656,37.4360762","127.0550947,37.5813781"
"127.136455,37.5644228","127.1650231,36.7779987","127.0103817,35.9646302","127.1381117,37.5194242","127.266004,37.0123169","127.0104565,37.507835","128.3285689,36.1242783","128.5619865,35.8594576","128.5908249,35.8856249","126.7339017,37.4360769","126.7339017,37.4360769","127.3829173,36.3779734","126.7339017,37.4360769","127.0553138,37.5810923"
"127.1364513,37.564485","127.1643873,36.7763012","127.0105386,35.9647237","127.1385653,37.5192299","127.2659859,37.0123611","127.0112436,37.5080708","128.3287695,36.1243373","128.5606375,35.8590331","128.5908712,35.8857651","126.7335196,37.4360771","126.7335196,37.4360771","127.3829183,36.3780482","126.7335196,37.4360771","127.0554577,37.5808999"
"127.1364487,37.5645445","127.1642965,36.7760549","127.0106093,35.96477","127.1388193,37.519119","127.2659677,37.0124449","127.0113972,37.5081156","128.3288005,36.1244318","128.5606041,35.8590226","128.5912211,35.8868068","126.7327295,37.4360774","126.7327295,37.4360774","127.3829566,36.3792681","126.7327295,37.4360774","127.0554828,37.5808658"
