smiles,FP,xtb_homo_ev,xtb_lumo_ev,xtb_gap_ev,xtb_mol_c6_au,xtb_mol_c8_au,xtb_charge_mean,xtb_charge_std,xtb_charge_min,xtb_charge_max,xtb_charge_range,xtb_charge_abs_mean,xtb_charge_abs_max,xtb_charge_median,xtb_charge_q25,xtb_charge_q75,xtb_radius_gyration,xtb_max_distance,xtb_mean_dist_from_com,xtb_charge_iqr,xtb_charge_skew_proxy,xtb_charge_tail_ratio,xtb_softness_inv_gap,xtb_electronegativity,xtb_geom_compactness_rg_over_maxdist,xtb_geom_com_ratio,xtb_hardness_gap_half,xtb_dispersion_balance_c8_c6,xtb_size_density_proxy,xtb_charge_extreme_balance,xtb_total_energy,xtb_dipole_debye,xtb_inertia_1,xtb_inertia_2
C=O,333.15,0.12514999,0.12514999,0.12514999,168.420351,3929.962231,0,0.403845499,-0.51181108,0.39536273,0.90717381,0.395361825,0.51181108,0.058224175,-0.337137198,0.395361373,0.87981768,2.163289461,0.980285554,0.73249857,-0.144174381,1.29453844,7.990412145,-0.12514999,0.406703632,0.45314581,0.062574995,23.33424796,77.85382125,0.772477864,-7.174133139,0.21,1.750711312,13.40466759
C(C(CO)O)O,433.15,0.01478011,0.01478011,0.01478011,2460.391794,53132.6622,3.97E-18,0.349354589,-0.58335026,0.41469529,0.99804555,0.330796559,0.58335026,0.066463935,-0.266153675,0.300544505,1.697402035,5.44469695,1.785583116,0.56669818,-0.19024778,1.763471369,67.65849509,-0.01478011,0.311753262,0.327949036,0.007390055,21.59520379,451.887739,0.710885584,-22.67238427,0.183,90.00458691,220.0638718
CS,255.15,0.02940617,0.02940617,0.02940617,823.697021,24266.40582,-4.63E-18,0.134886494,-0.16989377,0.20572292,0.37561669,0.113893273,0.20572292,-0.017185525,-0.10819688,0.098510542,2.082974186,6.765305566,3.202724012,0.206707422,0.127407308,1.806278053,34.00646871,-0.02940617,0.307890629,0.473404192,0.014703085,29.46035399,121.7531142,1.210891488,-7.411314132,-0.177,4.91695624,38.64576158
CO,284.15,0.36865268,0.36865268,0.36865268,420.449772,8198.505171,1.67E-09,0.280112288,-0.45523197,0.27406274,0.72929471,0.261315045,0.45523197,0.068133005,-0.18783885,0.255582775,1.138640603,3.713211031,1.455688539,0.443421625,-0.243234611,1.742080981,2.712580307,-0.36865268,0.30664581,0.392029574,0.18432634,19.49936881,113.2307775,0.602028763,-8.22549563,-0.043,4.005816888,20.15011196
CCCCCCCCO,354.15,0.03831121,0.03831121,0.03831121,11583.58244,244734.7076,-7.41E-10,0.239588173,-0.4879211,0.32017296,0.80809406,0.220999614,0.4879211,-0.08082005,-0.22073008,0.25714255,2.173558436,6.879256327,2.469661488,0.47787263,0.337329043,2.207791638,26.10202079,-0.03831121,0.315958344,0.359001231,0.019155605,21.12772184,1683.842248,0.656198225,-30.37698873,0.408,90.14394371,1170.21837
C1=CC=C(C=C1)O,352.15,0.04782188,0.04782188,0.04782188,3214.014482,81218.59455,0,0.276899465,-0.48031036,0.36913477,0.84944513,0.262661072,0.48031036,-0.13668817,-0.21803865,0.27910989,1.872640723,4.342843754,1.824678332,0.49714854,0.493638259,1.828631688,20.91093031,-0.04782188,0.431201496,0.42015749,0.02391094,25.27013957,740.0714058,0.76853385,-19.95319228,0.18,89.72105283,191.5551585
CC(CO)O,372.15,0.29720488,0.29720488,0.29720488,2339.925842,48977.59784,2.56E-17,0.324311271,-0.51665411,0.35969742,0.87635153,0.304782009,0.51665411,-0.1434622,-0.23549719,0.33058362,1.545850557,4.930469749,1.739527502,0.56608081,0.442359587,1.695159473,3.364682303,-0.29720488,0.313530076,0.352811718,0.14860244,20.93126071,474.584768,0.696205475,-18.61707391,0.185,62.37427988,143.5421627
CCCO,298.15,0.03178741,0.03178741,0.03178741,2013.45614,41669.63309,-1.67E-09,0.231159243,-0.4326849,0.27303505,0.70571995,0.207840787,0.4326849,-0.056203085,-0.202400553,0.251162925,1.73385391,5.150355141,1.840418232,0.453563478,0.243135782,2.081809384,31.45899587,-0.03178741,0.336647447,0.357338122,0.015893705,20.69557527,390.9353986,0.631025141,-14.55732421,-0.141,35.61606914,98.37824469
CCC(=O)O,327.15,0.03808591,0.03808591,0.03808591,1710.657306,38637.02189,-9.09E-10,0.343658428,-0.53742438,0.39251834,0.92994272,0.315122348,0.53742438,-0.08048903,-0.21242798,0.336159705,1.611385945,4.241151985,1.673217202,0.548587685,0.234212295,1.705446736,26.25642921,-0.03808591,0.379940627,0.39451951,0.019042955,22.58606779,403.3473245,0.730369434,-17.62175762,0.697,49.83533144,131.555454
C1=CC=NC=C1,293.15,0.03180507,0.03180507,0.03180507,2556.020696,64417.16457,-9.09E-10,0.223463587,-0.26562737,0.28875273,0.5543801,0.220494921,0.28875273,-0.17627065,-0.187219785,0.2306169,1.964177296,4.781261262,1.83676593,0.417836685,0.788811509,1.309566356,31.44152803,-0.03180507,0.410807356,0.38415929,0.015902535,25.2021295,534.5913047,1.087059402,-16.14831646,0.158,84.24818886,86.43670256
CSC,235.15,0.03237754,0.03237754,0.03237754,1640.536211,44747.8703,1.11E-09,0.144069377,-0.19358995,0.24817913,0.44176908,0.123838434,0.24817913,0.03013873,-0.15095488,0.08900721,2.239938628,5.144460051,2.161011936,0.23996209,-0.209195941,2.004055777,30.88560774,-0.03237754,0.435407916,0.420065841,0.01618877,27.27636854,318.8937604,1.281983543,-10.57098455,-0.302,28.71834282,66.33585407
C1CCSC1,286.15,0.00513498,0.00513498,0.00513498,3567.399636,94045.50698,-2.14E-18,0.176300621,-0.19305219,0.25316511,0.4462173,0.150713378,0.25316511,-0.0368539,-0.18527915,0.23571821,2.112099801,5.946946471,2.331258191,0.42099736,0.209040103,1.679778614,194.7427253,-0.00513498,0.355157022,0.392009278,0.00256749,26.36248152,599.8708166,1.311381705,-15.89157774,-0.329,83.85102411,112.5516196
C(C(=O)O)S,386.15,0.04053897,0.04053897,0.04053897,1672.577788,49017.844,6.17E-18,0.263862424,-0.28164552,0.34546335,0.62710887,0.256813376,0.34546335,-0.17667563,-0.23381993,0.28301161,1.894434184,4.318222069,1.819159847,0.51683154,0.669574801,1.345192201,24.66762229,-0.04053897,0.438706985,0.421275196,0.020269485,29.30676489,387.3301932,1.226589189,-17.69365107,0.359,56.95526111,205.4628119
CC1=CC=CC=C1,277.15,0.01493788,0.01493788,0.01493788,4564.776396,112820.0966,-7.86E-18,0.207823203,-0.22363363,0.26958233,0.49321596,0.202289877,0.26958233,-0.05833201,-0.207235255,0.204824535,1.996905887,5.354457896,2.01241583,0.41205979,0.280680931,1.332653584,66.94390368,-0.01493788,0.372942682,0.375839323,0.00746894,24.71536102,852.5188701,1.205464178,-19.04927883,-0.808,91.81621409,199.2856212
C(CS)O,347.15,0.05825662,0.05825662,0.05825662,1818.146266,50419.92209,1.00E-09,0.27536385,-0.48293924,0.30588314,0.78882238,0.256923831,0.48293924,0.068566105,-0.210645435,0.250132313,1.910758533,4.707847484,1.843350157,0.460777748,-0.249001835,1.879698112,17.16543116,-0.05825662,0.405866702,0.391548402,0.02912831,27.7314994,386.1948103,0.633378104,-14.63336149,-0.608,19.40488154,209.0143532
C1=CN=CC=C1N,437.15,0.01323674,0.01323674,0.01323674,3329.864988,81183.34147,7.69E-10,0.21210934,-0.24833431,0.30059875,0.54893306,0.207936965,0.30059875,-0.15408142,-0.17512682,0.22075263,2.404008789,6.040147414,2.190472548,0.39587945,0.726424499,1.445624396,75.54730243,-0.01323674,0.398004986,0.362652167,0.00661837,24.3803703,551.2886954,1.210460004,-19.58882143,-0.188,85.4070383,192.5484692
C1COC1=O,343.15,0.04125347,0.04125347,0.04125347,1305.959271,31692.26039,-1.11E-09,0.348760832,-0.54620888,0.38888785,0.93509673,0.322940363,0.54620888,-0.14016077,-0.17254412,0.36285909,1.77292446,4.792458654,1.62910826,0.53540321,0.401882195,1.691361446,24.24038511,-0.04125347,0.369940481,0.339931626,0.020626735,24.26741867,272.5029813,0.711976433,-16.57353711,-0.133,40.195682,97.25146065
CCOCC,228.15,0.22178421,0.22178421,0.22178421,3327.650587,68858.75448,-1.85E-17,0.241684865,-0.47637204,0.30501812,0.78139016,0.224407159,0.47637204,-0.07954512,-0.201676895,0.231169645,1.676958827,5.61220256,1.956197388,0.43284654,0.329127436,2.122802333,4.508887265,-0.22178421,0.298805827,0.348561437,0.110892105,20.6929041,592.9313049,0.640293918,-17.71950483,0.092,27.84694582,226.8228247
C(CN)N,307.15,0.00566913,0.00566913,0.00566913,1878.691855,37495.29742,-8.33E-10,0.211409929,-0.3392082,0.32157818,0.66078638,0.177943054,0.3392082,-0.00937022,-0.17626116,0.184600795,1.81506502,5.476910047,1.977925228,0.360861955,0.044322512,1.906273901,176.3939087,-0.00566913,0.33140311,0.361138892,0.002834565,19.95819448,343.0203964,0.948025962,-14.17020561,0.14,38.26897686,90.0674976
C1=COC(=C1)CN,310.15,0.04178559,0.04178559,0.04178559,3434.344276,82501.9937,-1.19E-17,0.256316538,-0.41283863,0.31251007,0.7253487,0.246243903,0.41283863,-0.003062955,-0.206403838,0.252533423,1.909525665,4.617298039,1.880546794,0.45893726,0.011949892,1.676543562,23.93169511,-0.04178559,0.413559109,0.407282956,0.020892795,24.02263345,743.7995656,0.75697875,-21.23138781,1.03,75.19528141,251.7433851
CC(C)O,285.15,0.04506317,0.04506317,0.04506317,2000.068247,41487.67952,8.33E-10,0.233173365,-0.43896145,0.26677743,0.70573888,0.208270749,0.43896145,-0.046816415,-0.2077638,0.256029018,1.717007495,4.889105021,1.775486437,0.463792818,0.200779432,2.107648106,22.19107089,-0.04506317,0.351190553,0.363151626,0.022531585,20.74313193,409.0867835,0.607746831,-14.56272914,-0.488,58.17377639,62.96382468
CC(=C)C(=O)O,350.15,0.13460747,0.13460747,0.13460747,2267.39064,53702.1314,0,0.288248279,-0.39606395,0.39510124,0.79116519,0.273229353,0.39606395,-0.04493621,-0.219850965,0.257694443,1.683327028,4.301854363,1.740754622,0.477545407,0.155894114,1.449565887,7.429008212,-0.13460747,0.391302654,0.404652151,0.067303735,23.68455195,527.0728502,0.997569307,-19.7328507,0.755,93.41546493,145.5411459
